date,channel,viewing_min,devices_used,location_count,trp_value,is_fake,device_id,ip_address,session_duration,channel_switches,watch_pattern_score,device_behavior_score,region,time_of_day
2025-01-01,News24,436,20,864,2.673520754044409,0,D8270,192.168.17.83,523,8,28,37,Mumbai,Midnight
2025-01-01,StarTV,422,4,528,2.729994991196743,0,D1860,192.168.78.231,509,10,33,50,Mumbai,Evening
2025-01-01,ZeeTV,412,1,917,3.7126967911292015,0,D6390,192.168.235.86,460,8,43,19,Chennai,Afternoon
2025-01-01,SunTV,447,1,864,3.7123035143033767,0,D6191,192.168.252.167,478,10,41,53,Kolkata,Midnight
2025-01-01,ABPNews,396,4,767,3.3994456295710958,0,D6734,192.168.41.249,377,11,11,59,Hyderabad,Afternoon
2025-01-01,NDTV,422,17,463,3.233838737728465,0,D7265,192.168.247.182,446,14,41,29,Mumbai,Night
2025-01-01,IndiaTV,439,11,733,3.0252353753087573,0,D1466,192.168.123.30,529,2,17,38,Chennai,Afternoon
2025-01-01,CNNNews18,463,14,633,3.9896777880202814,0,D5426,192.168.19.126,534,4,54,26,Kolkata,Midnight
2025-01-01,TimesNow,406,1,713,3.5246380983045977,0,D6578,192.168.95.125,507,7,62,33,Mumbai,Evening
2025-01-01,RepublicTV,450,7,858,3.698517631109941,0,D9322,192.168.41.89,494,4,18,47,Hyderabad,Midnight
2025-01-01,TV9,453,1,838,2.8961046871405784,0,D2685,192.168.86.5,548,12,32,72,Bangalore,Morning
2025-01-01,Asianet,430,18,766,2.552691073454475,0,D1769,192.168.49.41,536,3,64,39,Mumbai,Morning
2025-01-01,Colors,417,6,632,3.440892159313481,0,D7949,192.168.93.240,463,6,38,64,Mumbai,Midnight
2025-01-01,SonyTV,405,1,732,2.8473927153666625,0,D3433,192.168.166.57,478,2,16,52,Bangalore,Morning
2025-01-01,StarPlus,412,1,743,2.9351126792879536,0,D6311,192.168.218.185,520,6,14,27,Bangalore,Midnight
2025-01-01,ZeeCinema,412,1,713,2.4485549693321538,0,D6051,192.168.233.165,450,14,49,38,Kolkata,Midnight
2025-01-01,StarMovies,472,1,679,3.1073320690431947,0,D7420,192.168.134.133,566,12,41,53,Bangalore,Evening
2025-01-01,HBO,455,3,614,2.9819264745008,0,D2184,192.168.206.51,550,9,49,17,Mumbai,Evening
2025-01-01,Discovery,408,7,594,3.628968135164628,0,D5555,192.168.105.136,434,10,12,67,Kolkata,Evening
2025-01-01,NationalGeographic,408,5,522,3.438437984583469,0,D4385,192.168.183.201,496,11,19,26,Bangalore,Morning
2025-01-01,AnimalPlanet,435,7,659,3.375969854650519,0,D7396,192.168.10.254,432,14,49,51,Kolkata,Morning
2025-01-01,HistoryTV18,412,5,790,3.3185825253965566,0,D9666,192.168.251.150,504,7,62,16,Mumbai,Afternoon
2025-01-01,CartoonNetwork,458,3,550,3.598052325700328,0,D3558,192.168.97.99,470,5,38,34,Mumbai,Midnight
2025-01-01,Pogo,438,6,652,2.4953729350916056,0,D8849,192.168.204.139,441,4,54,54,Delhi,Midnight
2025-01-01,Nickelodeon,398,1,422,3.459465120133148,0,D3047,192.168.187.96,413,9,28,48,Hyderabad,Evening
2025-01-01,SonyMax,424,1,760,3.210701657654704,0,D3747,192.168.105.251,463,13,34,36,Hyderabad,Morning
2025-01-01,ZeeTelugu,439,1,885,2.535780998628139,0,D1189,192.168.142.166,508,3,29,29,Mumbai,Evening
2025-01-01,ETV,432,1,677,3.089861624726407,0,D3734,192.168.0.46,462,9,56,47,Bangalore,Morning
2025-01-01,GeminiTV,407,1,704,3.052283293171536,0,D4005,192.168.241.88,490,8,47,16,Kolkata,Morning
2025-01-01,MaaTV,437,1,539,2.856049879425388,0,D5658,192.168.170.232,432,3,55,49,Mumbai,Midnight
2025-01-01,UdayaTV,445,4,712,3.44503427781217,0,D2899,192.168.21.3,557,3,19,48,Hyderabad,Morning
2025-01-01,SuryaTV,457,1,737,3.900920862474688,0,D8734,192.168.141.130,570,3,60,41,Kolkata,Morning
2025-01-01,KTV,421,12,536,3.710912663079512,0,D2267,192.168.60.160,430,2,20,45,Hyderabad,Midnight
2025-01-01,JayaTV,430,11,680,2.6815903789699886,0,D2528,192.168.239.38,460,8,23,27,Chennai,Afternoon
2025-01-01,RajTV,423,17,695,2.834759110668318,0,D4556,192.168.224.46,474,9,60,67,Mumbai,Midnight
2025-01-01,KalaignarTV,416,1,869,3.0494357414637894,0,D4890,192.168.169.134,523,8,40,44,Kolkata,Morning
2025-01-01,DDNews,440,12,570,3.899596013072412,0,D9838,192.168.40.231,526,5,14,40,Bangalore,Morning
2025-01-01,DDNational,430,1,719,3.1601442152282737,0,D6393,192.168.152.226,536,12,52,38,Mumbai,Morning
2025-01-01,DDSports,468,13,681,2.99399464215333,0,D9792,192.168.138.110,576,13,37,71,Bangalore,Morning
2025-01-01,TenSports,398,2,571,2.810606041967375,0,D9433,192.168.228.41,471,10,28,15,Bangalore,Morning
2025-01-01,StarSports,453,2,527,3.4972695274840837,0,D8513,192.168.198.57,490,14,42,65,Hyderabad,Midnight
2025-01-01,SonySports,434,6,816,3.695458179332017,0,D3612,192.168.173.123,426,3,11,52,Chennai,Afternoon
2025-01-01,Eurosport,404,2,671,3.774800784938447,0,D8041,192.168.239.86,410,6,63,52,Hyderabad,Midnight
2025-01-01,CNBC,453,3,607,2.8693188780789654,0,D7235,192.168.175.63,553,3,38,53,Mumbai,Midnight
2025-01-01,BloombergTV,451,5,830,3.8665590983847578,0,D6486,192.168.38.138,570,4,27,36,Delhi,Evening
2025-01-01,BBCWorld,417,10,722,3.80327233586388,0,D8099,192.168.212.198,414,3,55,24,Delhi,Morning
2025-01-01,AlJazeera,454,1,932,3.7863826337255646,0,D1775,192.168.240.193,552,9,19,60,Bangalore,Morning
2025-01-01,France24,465,1,839,3.0351319588562853,0,D9226,192.168.225.187,459,11,65,41,Hyderabad,Night
2025-01-01,VH1,421,3,845,3.6794065867820738,0,D4152,192.168.205.164,497,14,47,56,Delhi,Morning
2025-01-01,MTV,442,13,838,2.75823704545028,0,D2585,192.168.26.201,495,7,24,16,Chennai,Afternoon
2025-01-02,News24,61,200,3631,9.665255591584904,1,D4943,192.168.182.198,87,0,81,95,Mumbai,Midnight
